,company,location,dates,job-title,summary,pros,cons,advice-to-mgmt,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,link
0.555495180574572,amazon,none," Jun 18, 2014",Current Employee - Anonymous Employee,Cut Throat,Great place for driven and ambitious people looking to do whatever it takes to climb up in the corporate world.,"No work/life balance, excessive politics and favoritism, unfair employee treatment, no perks (you pay for everything including parking), base salary is usually on the lower end but stocks are where you make the majority of your income though they are on a vesting schedule for couple years down the road and most people stay in the company for this reason (golden handcuffs).","Build better leadership skill through coaching rather than a ""sink or swim"" mentality that chews people up, and spits them out.",2,1,3,3,2,2,7,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P1562.htm
0.126422624931792,apple,none," Sep 19, 2016",Former Employee - Anonymous Employee,Apple AHA,"great training flexible management top of the line benefits great coworkers, even though you might never meet them",long(ish) hours lack social experience since you are working from home (might be pro for some) work might get monotonous occasionally,"I loved working for apple, keep up the good work! hours can be long at times but that comes with the territory",5,4,4,4,5,4,0,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138_P365.htm
0.045599565004746,microsoft,Lagos (Nigeria)," Feb 9, 2018",Former Employee - Anonymous Employee,Great,Great environment to work in,A lot of pressure on sales people,none,5,5,5,5,5,5,0,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651_P1311.htm
0.836277295326026,apple,Cork (Ireland)," Oct 18, 2017",Former Employee - Program Manager,Apple - Program Manager,"Lots of exciting projects to work on - if you're at the right level. Super smart people Amazing facilities - gym, cafe, health Hard work is well rewarded",Highly political - everyone has an agenda Expect long hours when required - late calls/weekends before launch,"Promote honest and open feedback, it's currently non-existent.",4,2,2,4,5,3,0,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138_P1077.htm
0.696052047488164,microsoft,none," Dec 7, 2011",Current Employee - Anonymous Employee,"Apportunities are there, however is very political and sometimes unfair","Benefits are second to none, very diverse, mobiilty within the company is a plus","Poor people management, pay is falling behind competition",Improve people management skills,3,4,none,3,3.5,2.5,1,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651_P1765.htm
0.559883668869909,google,"Belmont, CA"," Jul 1, 2015",Current Employee - Marketing Coordinator,Google,Great benefits that make balance better,mobility fictitious and hard to move around,none,4,4,4,3,4,3,0,https://www.glassdoor.com/Reviews/Google-Reviews-E9079_P307.htm
0.791081172253659,microsoft,none," Jul 30, 2016",Former Employee - Anonymous Employee,Great company,"Great people, highly competitive , highly matrixed, fast paced","Lots of politics , beareaucratic",none,3,3,3,3,4,3,0,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651_P350.htm
0.49710699865139,amazon,none," Mar 1, 2018",Former Employee - Virtual Customer Service Representative,Great company!,"Was able to work from home, had a flexible schedule and pay was better than minimum wage.",Hard to reach HR in the virtual environment,Keep doing good work.,5,4,5,5,3,2,0,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P356.htm
0.162474877284922,microsoft,"Saint Louis, MO"," Aug 19, 2016",Former Employee - Sales Account Assistant,Great Company,"Great Team, Very strong and positive work environment","Not much to say. Although I didn't work there long, i enjoyed every minute",none,4,none,none,none,none,none,1,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651_P341.htm
0.536355983609725,microsoft,none," Jul 25, 2012",Former Employee - Anonymous Employee,A fading shadow of its former self,"Good pay and benefits, highly professional, nice offices, flexible working, interesting business opportunities, scope to change roles every few years, free drinks","Most staff think they're far smarter than they actually are, crippling terminology / everything's an acronym, death by Powerpoint, meeting overload, idiot-level training is mandatory for everyone every year","Bring in outside talent to accelerate your retirement date, please",3,4,3,2,4,2,0,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651_P1726.htm
0.559000592953451,amazon,"Haslet, TX"," Oct 2, 2018",Former Employee - Packer,It’s definitely not for everyone.,"No interview, cheap benefits, lots of time off, decent pay.","Ten hours on your feet, strict production rates, favoritism, a lot of weirdos...like, a whole lot. Too tired to make dinner when you get home. Two of your three days off are just recovering from work. Feeling like they own you. Quickly becoming dead inside.","They don’t care about advice, only productivity.",3,1,2,1,3,2,0,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P92.htm
0.728445241992333,apple,none," Aug 16, 2015",Current Employee - Anonymous Employee,Review of At Home Advisor Position,More time with family Friendly environment Awesome people Competitive benefits and great pay,The occasional negative customer can bring you down,none,5,5,5,5,5,5,0,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138_P598.htm
0.973618938129791,apple,none," Oct 26, 2016",Former Employee - Anonymous Employee,Ok,Great on site cafeteria!! Love it,None that I can think of,none,5,4,5,3,4,5,0,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138_P341.htm
0.843813752439461,microsoft,"Redmond, WA"," Jun 4, 2013",Former Employee - Software Development Engineer,"Choose a group which is appropriate to your personality, small vs. big, deadline oriented vs. design oriented",I was very productive only after I understood the Microsoft culture - getting things done with initiative. My work was more visible in smaller groups. I was a little lost in bigger groups and I had shied away when I did not get the recognition - never do that.,"I disagree with the interview process - very often the puzzles hardly test anything if the candidate has seen the solution earlier. You can only do so much during the limited time. Some of the best software designers I have seen work methodically, slowly and iteratively.",Train the Interviewers to understand the candidate better rather than judging their 'puzzle' factor. There are so many other aspects of software development especially in a product team.,4,4,4,3,4,3,0,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651_P922.htm
0.041707212847169,amazon,"Phoenix, AZ"," May 20, 2018",Current Employee - Outbound Order Picker,Order picker,Benefits pay vacation time and unpaid time,Long 10 hour days work alot during holidays,Be more open and communicate,4,3,3,4,5,5,0,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P261.htm
0.628768718755668,apple,none," Jun 30, 2017",Current Employee - Anonymous Employee,Wonderful,Good food nice crazy Very fun great people,very boring at times very long lines,none,4,4,5,5,5,5,0,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138_P1094.htm
0.355493701606091,apple,"Cupertino, CA"," Nov 6, 2012",Current Employee - Software Engineer,Lots of smart interesting people focused on the user experience,"Really great products to work on, exciting opportunities and smart interesting people to work with. There is a strong culture of focusing on the end-user experience and not irrationally obsessing with features/technology.","It's a big company, so there are the general the rules and bureaucracy you don't have at, say, a start-up. There is a strong Apple-focused culture and loyalty which becomes both a strength and a weakness.",none,4,4,5,5,4,3,1,https://www.glassdoor.com/Reviews/Apple-Reviews-E1138_P906.htm
0.252406940970087,microsoft,none," Dec 3, 2017",Current Employee - Customer Experience Manager,Customer Experience Manager,"The benefits are good, the trips are fun, and you meet cool people.","Had to move across the country to get promoted at all, the benefits have decreased in recent years, and I can't even afford a car when I live alone with two dogs.","Reward your long-term employees with more than PTO. You work us into the ground in the retail side already, the PRIME program only helps a little, maybe partner with local businesses to have a trade of some sort",3,1,4,2,5,3,0,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651_P116.htm
0.445452684550105,amazon,Prague (Czech Republic)," Nov 21, 2017",Former Employee - IT Support,HR is xenophobic/racist,Don't know if they got profit from this.,"I didn't get invitation to interview since i'm not czech. They refused to invite me to interview, but i sent exactly the same CV with czech name - SUCCESS! HR was xenophobic/racist, unfortunately it is problem of most companies in Czech Republic.Don't know if they got profit from this",none,1,1,1,1,1,1,2,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P2160.htm
0.510301535676637,amazon,"Seattle, WA"," Mar 26, 2016",Current Employee - Software Development Engineer III,SDE -- There are better places to work,"It's the only big software company headquartered in Seattle. There is no commuting to the east side, and the vast majority of projects are based here, so there are a lot of interesting challenges. Big, gnarly projects where you can really stretch yourself, and if you find one that you are passionate about, and which doesn't get killed out from under you, it can be great.","It is very, very clear that employees are not valued -- Amazon burns through employees faster than any organization I have worked for, and puts little or no effort into retention. Work-life balance is something that the employee has to regularly put their foot down to enforce.  High density seating means engineers in those areas are not going to get stuff done. It's stupid, not frugal.  Legacy projects are left running in production long after everyone who has worked on them has left the company, with some unfortunate saps having to prop them back up every time they get paged, but without the authority to fix them so they are stable, since the next big thing is way too important. Maintenance tasks are not rewarded.  The product definition for the next big thing will change incessantly until it is finally launched long after it was promised, and after a long death march, during which several key people will have quit in disgust, and a few more will have been reassigned to another project that they had no interest in, but which had a lot of people quit in disgust. Don't worry though, that just means more work for everyone else, and a shorter on call rotation. And a lot of time interviewing people to try to replace the people who left.  Managers routinely lie to higher ups about the status of projects, so it becomes a crisis when someone finally notices things aren't going to be delivered on time.  Infrastructure and build tools are poorly maintained -- the teams are perpetually understaffed, like the rest of the company, and it results in productivity losses across the company, greater than the cost of just fully staffing those teams.  Between poor project management, poor product design, operational burden from slowly collapsing systems and poor development tools, so much time is wasted that it would be funny if you didn't care.  Compensation is ok, mostly. There is no gift-matching, which surprised me until I realized that Amazon has never donated anything to the community. There are countless little stingy things that come under the name of frugal, but which are just demoralizingly stupid.  Employee reviews are a sad joke. Also, stack ranking encourages some teams to deliberately hire a few unqualified people as self-protection.","Focus more on employee retention -- get rid of the managers who burn through employees to the point where things aren't getting done.  Not having enough meeting rooms doesn't mean that people will cut back on the number of meetings. It just means those meetings are held at people's desks, which annoys everyone around them.  Also, add more bathrooms -- the developer floors are 90% men, so the bathrooms are overused and disgusting. Don't be so cheap, a couple extra toilets cost nothing compared to developer salaries.",2,1,1,2,3,2,9,https://www.glassdoor.com/Reviews/Amazon-Reviews-E6036_P1179.htm
